_;SMPTE Metadata Elements Dictionary;;;;;;;;;;;;;
_;Published version 13 as of 2012-02-14;;;;;;;;;;;;;
_ver;Published;13;;;;;;;;;;;;
_;;499;Nodes in this Register;;;;;;;;;;;
_;;1476;Leaves in this Register;;;;;;;;;;;
_;Register;Dictionary Version at introduction;Node or
Leaf;Level;Universal Label;Metadata Element Name;Metadata Element Definition;Type;Value Length;Value Range;;;Defining Document;Notes
;Elements;1;Node;0;06.0E.2B.34.01.01.01.01.00.00.00.00.00.00.00.00;ELEMENTS;Register of individual Metadata Elements;;;;;;;
;Elements;1;Node;1;06.0E.2B.34.01.01.01.01.01.00.00.00.00.00.00.00;IDENTIFIERS AND LOCATORS;Class 1 metadata is reserved for abstract Identifiers and Locators;;;;;;;
;Elements;1;Node;2;06.0E.2B.34.01.01.01.01.01.01.00.00.00.00.00.00;Globally Unique Identifiers;Unique identifiers and locators;;;;;;;
;Elements;1;Node;3;06.0A.2B.34.01.01.01.01.01.01.01.00.00.00.00.00;UMID Video;Unique Material Identifier for video essence.  Note: This is a 12-byte SMPTE label.   ;As per SMPTE standard;32 bytes;;;;SMPTE 330M;The last byte of this entry (byte 12) defines the Material and Instance number creation methods, and may have any of the values documented by SMPTE 330M-2000: 10h,11h,12h,20h,21h,22h
;Elements;1;Leaf;4;06.0A.2B.34.01.01.01.01.01.01.01.10.00.00.00.00;UMID Video;Unique Material Identifier for video essence.  Note: This is a 12-byte SMPTE label.   ;As per SMPTE standard;32 bytes;;;;SMPTE 330M;
;Elements;1;Leaf;4;06.0A.2B.34.01.01.01.01.01.01.01.11.00.00.00.00;UMID Video;Unique Material Identifier for video essence.  Note: This is a 12-byte SMPTE label.   ;As per SMPTE standard;32 bytes;;;;SMPTE 330M;
;Elements;1;Leaf;4;06.0A.2B.34.01.01.01.01.01.01.01.12.00.00.00.00;UMID Video;Unique Material Identifier for video essence.  Note: This is a 12-byte SMPTE label.   ;As per SMPTE standard;32 bytes;;;;SMPTE 330M;
;Elements;1;Leaf;4;06.0A.2B.34.01.01.01.01.01.01.01.20.00.00.00.00;UMID Video;Unique Material Identifier for video essence.  Note: This is a 12-byte SMPTE label.   ;As per SMPTE standard;32 bytes;;;;SMPTE 330M;
;Elements;1;Leaf;4;06.0A.2B.34.01.01.01.01.01.01.01.21.00.00.00.00;UMID Video;Unique Material Identifier for video essence.  Note: This is a 12-byte SMPTE label.   ;As per SMPTE standard;32 bytes;;;;SMPTE 330M;
;Elements;1;Leaf;4;06.0A.2B.34.01.01.01.01.01.01.01.22.00.00.00.00;UMID Video;Unique Material Identifier for video essence.  Note: This is a 12-byte SMPTE label.   ;As per SMPTE standard;32 bytes;;;;SMPTE 330M;
;Elements;1;Node;3;06.0A.2B.34.01.01.01.01.01.01.02.00.00.00.00.00;UMID Audio;Unique Material Identifier for audio essence.  Note: This is a 12-byte SMPTE label.   ;As per SMPTE standard;32 bytes;;;;SMPTE 330M;The last byte of this entry (byte 12) defines the Material and Instance number creation methods, and may have any of the values documented by SMPTE 330M-2000: 10h,11h,12h,20h,21h,22h
;Elements;1;Leaf;4;06.0A.2B.34.01.01.01.01.01.01.02.10.00.00.00.00;UMID Audio;Unique Material Identifier for video essence.  Note: This is a 12-byte SMPTE label.   ;As per SMPTE standard;32 bytes;;;;SMPTE 330M;
;Elements;1;Leaf;4;06.0A.2B.34.01.01.01.01.01.01.02.11.00.00.00.00;UMID Audio;Unique Material Identifier for video essence.  Note: This is a 12-byte SMPTE label.   ;As per SMPTE standard;32 bytes;;;;SMPTE 330M;
;Elements;1;Leaf;4;06.0A.2B.34.01.01.01.01.01.01.02.12.00.00.00.00;UMID Audio;Unique Material Identifier for video essence.  Note: This is a 12-byte SMPTE label.   ;As per SMPTE standard;32 bytes;;;;SMPTE 330M;
;Elements;1;Leaf;4;06.0A.2B.34.01.01.01.01.01.01.02.20.00.00.00.00;UMID Audio;Unique Material Identifier for video essence.  Note: This is a 12-byte SMPTE label.   ;As per SMPTE standard;32 bytes;;;;SMPTE 330M;
;Elements;1;Leaf;4;06.0A.2B.34.01.01.01.01.01.01.02.21.00.00.00.00;UMID Audio;Unique Material Identifier for video essence.  Note: This is a 12-byte SMPTE label.   ;As per SMPTE standard;32 bytes;;;;SMPTE 330M;
;Elements;1;Leaf;4;06.0A.2B.34.01.01.01.01.01.01.02.22.00.00.00.00;UMID Audio;Unique Material Identifier for video essence.  Note: This is a 12-byte SMPTE label.   ;As per SMPTE standard;32 bytes;;;;SMPTE 330M;
;Elements;1;Node;3;06.0A.2B.34.01.01.01.01.01.01.03.00.00.00.00.00;UMID Data;Unique Material Identifier for data essence.  Note: This is a 12-byte SMPTE label.   ;As per SMPTE standard;32 bytes;;;;SMPTE 330M;The last byte of this entry (byte 12) defines the Material and Instance number creation methods, and may have any of the values documented by SMPTE 330M-2000: 10h,11h,12h,20h,21h,22h
;Elements;1;Leaf;4;06.0A.2B.34.01.01.01.01.01.01.03.10.00.00.00.00;UMID Data;Unique Material Identifier for video essence.  Note: This is a 12-byte SMPTE label.   ;As per SMPTE standard;32 bytes;;;;SMPTE 330M;
;Elements;1;Leaf;4;06.0A.2B.34.01.01.01.01.01.01.03.11.00.00.00.00;UMID Data;Unique Material Identifier for video essence.  Note: This is a 12-byte SMPTE label.   ;As per SMPTE standard;32 bytes;;;;SMPTE 330M;
;Elements;1;Leaf;4;06.0A.2B.34.01.01.01.01.01.01.03.12.00.00.00.00;UMID Data;Unique Material Identifier for video essence.  Note: This is a 12-byte SMPTE label.   ;As per SMPTE standard;32 bytes;;;;SMPTE 330M;
;Elements;1;Leaf;4;06.0A.2B.34.01.01.01.01.01.01.03.20.00.00.00.00;UMID Data;Unique Material Identifier for video essence.  Note: This is a 12-byte SMPTE label.   ;As per SMPTE standard;32 bytes;;;;SMPTE 330M;
;Elements;1;Leaf;4;06.0A.2B.34.01.01.01.01.01.01.03.21.00.00.00.00;UMID Data;Unique Material Identifier for video essence.  Note: This is a 12-byte SMPTE label.   ;As per SMPTE standard;32 bytes;;;;SMPTE 330M;
;Elements;1;Leaf;4;06.0A.2B.34.01.01.01.01.01.01.03.22.00.00.00.00;UMID Data;Unique Material Identifier for video essence.  Note: This is a 12-byte SMPTE label.   ;As per SMPTE standard;32 bytes;;;;SMPTE 330M;
;Elements;1;Node;3;06.0A.2B.34.01.01.01.01.01.01.04.00.00.00.00.00;UMID System;Unique Material Identifier for data essence.  Note: This is a 12-byte SMPTE label.   ;As per SMPTE standard;32 bytes;;;;SMPTE 330M;The last byte of this entry (byte 12) defines the Material and Instance number creation methods, and may have any of the values documented by SMPTE 330M-2000: 10h,11h,12h,20h,21h,22h
;Elements;1;Leaf;4;06.0A.2B.34.01.01.01.01.01.01.04.10.00.00.00.00;UMID System;Unique Material Identifier for video essence.  Note: This is a 12-byte SMPTE label.   ;As per SMPTE standard;32 bytes;;;;SMPTE 330M;
;Elements;1;Leaf;4;06.0A.2B.34.01.01.01.01.01.01.04.11.00.00.00.00;UMID System;Unique Material Identifier for video essence.  Note: This is a 12-byte SMPTE label.   ;As per SMPTE standard;32 bytes;;;;SMPTE 330M;
;Elements;1;Leaf;4;06.0A.2B.34.01.01.01.01.01.01.04.12.00.00.00.00;UMID System;Unique Material Identifier for video essence.  Note: This is a 12-byte SMPTE label.   ;As per SMPTE standard;32 bytes;;;;SMPTE 330M;
;Elements;1;Leaf;4;06.0A.2B.34.01.01.01.01.01.01.04.20.00.00.00.00;UMID System;Unique Material Identifier for video essence.  Note: This is a 12-byte SMPTE label.   ;As per SMPTE standard;32 bytes;;;;SMPTE 330M;
;Elements;1;Leaf;4;06.0A.2B.34.01.01.01.01.01.01.04.21.00.00.00.00;UMID System;Unique Material Identifier for video essence.  Note: This is a 12-byte SMPTE label.   ;As per SMPTE standard;32 bytes;;;;SMPTE 330M;
;Elements;1;Leaf;4;06.0A.2B.34.01.01.01.01.01.01.04.22.00.00.00.00;UMID System;Unique Material Identifier for video essence.  Note: This is a 12-byte SMPTE label.   ;As per SMPTE standard;32 bytes;;;;SMPTE 330M;
;Elements;5;Node;3;06.0E.2B.34.01.01.01.05.01.01.05.00.00.00.00.00;UMID Picture;SMPTE330M UMID for single picture component;;32 bytes;;;;SMPTE330M (revision 2003) ;Leaves within this node are numbered and assigned according to SMPTE 330M (revision 2003) table 3 and table 4
;Elements;5;Node;3;06.0E.2B.34.01.01.01.05.01.01.06.00.00.00.00.00;UMID Multi Picture;SMPTE330M UMID for multiple picture component;;32 bytes;;;;SMPTE330M (revision 2003) ;Leaves within this node are numbered and assigned according to SMPTE 330M (revision 2003) table 3 and table 4
;Elements;5;Node;3;06.0E.2B.34.01.01.01.05.01.01.08.00.00.00.00.00;UMID Sound;SMPTE330M UMID for single sound component;;32 bytes;;;;SMPTE330M (revision 2003) ;Leaves within this node are numbered and assigned according to SMPTE 330M (revision 2003) table 3 and table 4
;Elements;5;Node;3;06.0E.2B.34.01.01.01.05.01.01.09.00.00.00.00.00;UMID Multi Sound;SMPTE330M UMID for multiple sound component;;32 bytes;;;;SMPTE330M (revision 2003) ;Leaves within this node are numbered and assigned according to SMPTE 330M (revision 2003) table 3 and table 4
;Elements;5;Node;3;06.0E.2B.34.01.01.01.05.01.01.0B.00.00.00.00.00;UMID Single Data;SMPTE330M UMID for single data component;;32 bytes;;;;SMPTE330M (revision 2003) ;Leaves within this node are numbered and assigned according to SMPTE 330M (revision 2003) table 3 and table 4
;Elements;5;Node;3;06.0E.2B.34.01.01.01.05.01.01.0C.00.00.00.00.00;UMID Multi Data;SMPTE330M UMID for multiple data component;;32 bytes;;;;SMPTE330M (revision 2003) ;Leaves within this node are numbered and assigned according to SMPTE 330M (revision 2003) table 3 and table 4
;Elements;5;Node;3;06.0E.2B.34.01.01.01.05.01.01.0D.00.00.00.00.00;UMID Mixed;SMPTE330M UMID for mixed group of components;;32 bytes;;;;SMPTE330M (revision 2003) ;Leaves within this node are numbered and assigned according to SMPTE 330M (revision 2003) table 3 and table 4
;Elements;5;Node;3;06.0E.2B.34.01.01.01.05.01.01.0F.00.00.00.00.00;UMID General;SMPTE330M UMID for unspecified components;;32 bytes;;;;SMPTE330M (revision 2003) ;Leaves within this node are numbered and assigned according to SMPTE 330M (revision 2003) table 3 and table 4
;Elements;1;Node;3;06.0E.2B.34.01.01.01.01.01.01.10.00.00.00.00.00;International Broadcasting Organization Identifiers;Internationally recognized identifiers registered by broadcasting organizations;;;;;;;
;Elements;1;Leaf;4;06.0E.2B.34.01.01.01.01.01.01.10.01.00.00.00.00;Organization ID;The broadcasting organization concerned;ISO/IEC 646:1991 - ISO 7-Bit Coded Character Set ;127 bytes max;;;;;
;Elements;3;Leaf;5;06.0E.2B.34.01.01.01.03.01.01.10.01.01.00.00.00;Organization ID;The internationally recognized unique identifier for a broadcasting organization;16-bit Unicode String;Variable;;;;;
;Elements;4;Leaf;4;06.0E.2B.34.01.01.01.04.01.01.10.02.00.00.00.00;Organization ID Kind;Specifies the identification system in use.  E.g. OUT, ITU, EBU, Callsign etc;ISO/IEC 646:1991 - ISO 7-Bit Coded Character Set;32 bytes max;;;;;
;Elements;4;Leaf;5;06.0E.2B.34.01.01.01.04.01.01.10.02.01.00.00.00;Organization ID Kind;Specifies the identification system in use.  E.g. OUT, ITU, EBU, Callsign etc;16-bit Unicode String;Variable;;;;;
;Elements;1;Node;4;06.0E.2B.34.01.01.01.01.01.01.10.03.00.00.00.00;Program Identifiers;Globally Unique program identifiers;;;;;;;
;Elements;1;Leaf;5;06.0E.2B.34.01.01.01.01.01.01.10.03.01.00.00.00;UPID;A Unique Program Identifier (ATSC A/57) for a program as a Work;As per ATSC standard;;;;;ATSC standard ATSC A/57;
;Elements;1;Leaf;5;06.0E.2B.34.01.01.01.01.01.01.10.03.02.00.00.00;UPN;Unique Programme Number (ITVA);As per ITVA standard;;;;;As per ITVA standard (not yet ratified);
;Elements;2;Leaf;5;06.0E.2B.34.01.01.01.02.01.01.10.03.03.00.00.00;Program Number;Identifier for a program project;ISO/IEC 646:1991 - ISO 7-Bit Coded Character Set;127 bytes max;;;;;
;Elements;1;Node;4;06.0E.2B.34.01.01.01.01.01.01.10.04.00.00.00.00;Physical Media Identifiers;Physical media identifiers;;;;;;;
;Elements;1;Node;5;06.0E.2B.34.01.01.01.01.01.01.10.04.01.00.00.00;Tape Identifiers;Tape identifiers;;;;;;;
;Elements;1;Leaf;6;06.0E.2B.34.01.01.01.01.01.01.10.04.01.01.00.00;IBTN;EBU International Broadcast Tape Number;As per EBU standard;;;;;European Broadcasting Union IBTN;
;Elements;1;Node;3;06.0E.2B.34.01.01.01.01.01.01.11.00.00.00.00.00;International Standard Identifiers;Internationally accepted Identifier Schemes;;;;;;;
;Elements;1;Leaf;4;06.0E.2B.34.01.01.01.01.01.01.11.01.00.00.00.00;ISAN;ISO Audio-Visual Number;As per ISO standard;;;;;ISO 15706;
;Elements;1;Leaf;4;06.0E.2B.34.01.01.01.01.01.01.11.02.00.00.00.00;ISBN;ISO Book Number;As per ISO standard;;;;;ISO 2108;
;Elements;1;Leaf;4;06.0E.2B.34.01.01.01.01.01.01.11.03.00.00.00.00;ISSN;ISO Serial Number;As per ISO standard;;;;;ISO 3297;
;Elements;1;Leaf;4;06.0E.2B.34.01.01.01.01.01.01.11.04.00.00.00.00;ISWC;ISO Musical Work Code;As per ISO standard;;;;;ISO 15707;
;Elements;1;Leaf;4;06.0E.2B.34.01.01.01.01.01.01.11.05.00.00.00.00;ISMN;ISO Printed Music Number;As per ISO standard;;;;;ISO 10957;
;Elements;1;Leaf;4;06.0E.2B.34.01.01.01.01.01.01.11.06.00.00.00.00;ISCI (Deprecated);American Association of Advertising Industries Commercial Identifier;As per AAAA standard;;;;;AAAA's ISCI;http://www.aaaa.org/publications/search.asp
;Elements;1;Leaf;4;06.0E.2B.34.01.01.01.01.01.01.11.07.00.00.00.00;ISRC;ISO Recording Code;As per ISO standard;;;;;ISO 3901;
;Elements;1;Leaf;4;06.0E.2B.34.01.01.01.01.01.01.11.08.00.00.00.00;ISRN;ISO Report Number;As per ISO standard;;;;;ISO 10444;
;Elements;1;Leaf;4;06.0E.2B.34.01.01.01.01.01.01.11.09.00.00.00.00;ISBD;International Federation of Library Associations and Institutions Bibliographic Descriptor;As per IFLA standard;;;;;IFLA's ISBD;http://www.ifla.org/VII/s13/pubs/isbd.htm
;Elements;1;Leaf;4;06.0E.2B.34.01.01.01.01.01.01.11.0A.00.00.00.00;ISTC;ISO Textual Work Code;As per ISO standard;;;;;ISO 21047;
;Elements;12;Leaf;4;06.0E.2B.34.01.01.01.0C.01.01.11.0B.00.00.00.00;Ad-ID;Ad-ID is a globally unique identifier for advertising materials. Ad-IDs are assigned by the American Association of Advertising Agencies (AAAA).;As per AAAA standard;12 bytes;;;;Ad-ID Spec;
;Elements;1;Node;3;06.0E.2B.34.01.01.01.01.01.01.13.00.00.00.00.00;International Standard Compound Identifiers;Compound Identifiers based on an internationally accepted Standard;;;;;;;
;Elements;1;Leaf;4;06.0E.2B.34.01.01.01.01.01.01.13.01.00.00.00.00;SICI;ANSI/NISO Serial Item and Contribution Identifier;As per ANSI/NISO standard;;;;;ANSI/NISO Z39.56 - 1996;http://sunsite.berkeley.edu/SICI/
;Elements;1;Leaf;4;06.0E.2B.34.01.01.01.01.01.01.13.02.00.00.00.00;BICI;ANSI/NISO Book Item and Component Identifier;As per ANSI/NISO standard;;;;;ANSI/NISO Z39.56 - 1997 (not yet ratified);http://www.niso.org/commitap.html
;Elements;1;Leaf;4;06.0E.2B.34.01.01.01.01.01.01.13.03.00.00.00.00;AICI;ANSI/NISO Audio-Visual Item and Component Identifier [proposed];As per ANSI/NISO standard;;;;;Not yet ratified;
;Elements;1;Leaf;4;06.0E.2B.34.01.01.01.01.01.01.13.04.00.00.00.00;PII;American Chemical Society Publisher Item Identifier;As per ACS standard;;;;;ACS's PII;http://pubs.acs.org/journals/pubiden.html
;Elements;1;Node;3;06.0E.2B.34.01.01.01.01.01.01.15.00.00.00.00.00;Object Identifiers;Object identifiers;;;;;;;
;Elements;1;Leaf;4;06.0E.2B.34.01.01.01.01.01.01.15.01.00.00.00.00;DOI;International DOI Foundation Digital Object Identifier;As per DOI standard;;;;;International DOI Foundation Digital Object Identifier;http://www.doi.org
;Elements;1;Leaf;4;06.0E.2B.34.01.01.01.01.01.01.15.02.00.00.00.00;GUID;The ISO/IEC 11578 (Annex A) 16-byte Globally Unique Identifier;As per ISO 11578 standard (Annex A);16 bytes;;;; ISO 11578 (Annex A);
;Elements;2;Leaf;4;06.0E.2B.34.01.01.01.02.01.01.15.03.00.00.00.00;Definition Object ID;The unique identifier for the item being defined;AUID;16 bytes;;;; ISO 11578 (Annex A);
;Elements;3;Leaf;4;06.0E.2B.34.01.01.01.03.01.01.15.04.00.00.00.00;Global Number;Organizationally-given global number used to identify subjects in the image ;ISO/IEC 646:1991 - ISO 7-Bit Coded Character Set;14 bytes;;;;;
;Elements;5;Leaf;4;06.0E.2B.34.01.01.01.05.01.01.15.08.00.00.00.00;Clip ID;Clip ID as a basic UMID. Note that the value includes the whole UMID including the first 12 UL bytes;UMID;32 bytes;;;;SMPTE 330M;
;Elements;7;Leaf;4;06.0E.2B.34.01.01.01.07.01.01.15.09.00.00.00.00;Extended Clip ID;Clip ID as an Extended UMID. Note that the value includes the whole UMID including the first 12 UL bytes;UMID;64 bytes;;;;SMPTE 330M;
;Elements;7;Leaf;4;06.0E.2B.34.01.01.01.07.01.01.15.0A.00.00.00.00;Clip ID Array;An ordered  array of Basic UMIDs;UMID Array;32*n bytes;;;;SMPTE 394M;
;Elements;7;Leaf;4;06.0E.2B.34.01.01.01.07.01.01.15.0B.00.00.00.00;Extended Clip ID Array;An ordered  array of Extended UMIDs;UMID Array;64*n bytes;;;;SMPTE 394M;
;Elements;1;Leaf;4;06.0E.2B.34.01.01.01.01.01.01.15.10.00.00.00.00;Package ID;Identifies the Metadata Object with a  a unique identifier;PackageID;32 bytes;;;;Type as defined in SMPTE 377M;
;Elements;9;Leaf;4;06.0E.2B.34.01.01.01.09.01.01.15.11.00.00.00.00;Cryptographic Context ID;Identifies the Cryptographic Context used for data encryption;UUID;16 bytes;;;;SMPTE 429.6;
;Elements;12;Leaf;4;06.0E.2B.34.01.01.01.0C.01.01.15.12.00.00.00.00;Resource ID;A UUID that identifies a resource.;UUID;16 bytes;;;;;
;Elements;12;Leaf;4;06.0E.2B.34.01.01.01.0C.01.01.15.13.00.00.00.00;Ancillary Resource ID;A UUID value that identifies the ancillary resource.;UUID;16 bytes;;;;;
;Elements;8;Node;4;06.0E.2B.34.01.01.01.08.01.01.15.40.00.00.00.00;Globally Unique Object Identifiers;Globally Unique Object Identifiers;;;;;;;
;Elements;8;Node;5;06.0E.2B.34.01.01.01.08.01.01.15.40.01.00.00.00;Globally Unique Human Identifiers;Globally Unique Human Identifiers;;;;;;;
;Elements;8;Leaf;6;06.0E.2B.34.01.01.01.08.01.01.15.40.01.01.00.00;Participant ID;Unique identifier of a Participant set as the target of a generalized weak (global) reference;UID;16 bytes;;;;SMPTE 380M ;
;Elements;8;Leaf;6;06.0E.2B.34.01.01.01.08.01.01.15.40.01.02.00.00;Contact ID;Unique identifier of a Contact set as the target of a generalized weak (global) reference;UID;16 bytes;;;;SMPTE 380M ;
