Type;Registry Designator;Item Designator;Ver;Reference Name;Description;Standard(s);;Deprecated
Nrm;Normative;Normative;Nrm;Normative;Normative;Normative;Notes;Nrm
Node or Leaf;Note: Byte 8 is the version number of the registry at the point of Label registration;;;;;(where applicable);;
Node;06.0E.2B.34.04.01.01.01;00.00.00.00.00.00.00.00;01;SMPTE LABELS;Register of SMPTE Labels;SMPTE ST 400;;
Node;06.0E.2B.34.04.01.01.01;01.00.00.00.00.00.00.00;01;IDENTIFICATION AND LOCATION;SMPTE Label Identifiers for Identification and Location data;;;
Node;06.0E.2B.34.04.01.01.01;01.01.00.00.00.00.00.00;01;Globally Unique Identifiers;Identifies Globally Unique Identifiers;;;
Node;06.0E.2B.34.04.01.01.01;01.01.01.00.00.00.00.00;01;SDTI Payload Identifiers;Legacy label used by SDTI systems;;;
Node;06.0E.2B.34.04.01.01.01;01.01.01.01.00.00.00.00;01;SDTI-CP Identifiers;Legacy label used by SDTI-CP;;;
Node;06.0E.2B.34.04.01.01.01;01.01.01.01.01.00.00.00;01;SDTI-CP MPEG Payloads;Legacy label used by SDTI-CP MPEG Payloads;;;
Leaf;06.0E.2B.34.04.01.01.01;01.01.01.01.01.01.00.00;01;SDTI-CP MPEG-2 Baseline Template;Legacy label used by SDTI-CP for MPEG-2 payloads;SMPTE RP 204;;
Leaf;06.0E.2B.34.04.01.01.01;01.01.01.01.01.01.01.00;01;SDTI-CP MPEG-2 Extended Template;Legacy label used by SDTI-CP for MPEG-2 payloads with extensions to the baseline specification;SMPTE RP 204;;
Node;06.0E.2B.34.04.01.01.0A;01.01.02.00.00.00.00.00;0A;File Format Identifiers;Labels for File Format Identifiers;;;
Node;06.0E.2B.34.04.01.01.0A;01.01.02.01.00.00.00.00;0A;File Format Identifiers Unstructured Node;Labels for File Format Identifiers Unstructured Node;;;
Leaf;06.0E.2B.34.04.01.01.0A;01.01.02.01.01.00.00.00;0A;Unknown File Format;Identifies Unknown File Format;;;
Node;06.0E.2B.34.04.01.01.0C;01.01.03.00.00.00.00.00;0C;Definition Identifiers;Identifies Definition Identifiers;;;
Node;06.0E.2B.34.04.01.01.0C;01.01.03.01.00.00.00.00;0C;Reg-XML Definition Identifiers;Identifies Reg-XML Definition Identifiers;;;
Node;06.0E.2B.34.04.01.01.0C;01.01.03.01.01.00.00.00;0C;Reg-XML Meta-Dictionary Identifiers;Identifies Reg-XML Meta-Dictionary Identifiers;;;
